,year,Total Marriages,  January,  February,  March,  April,  May,  June,  July,  August,  September,  October,  November,  December,Civil Marriages,  January,  February,  March,  April,  May,  June,  July,  August,  September,  October,  November,  December,Muslim Marriages,  January,  February,  March,  April,  May,  June,  July,  August,  September,  October,  November,  December
0,2000-01-01,22561,1602,1838,2062,1268,1941,2389,1657,988,2885,1743,2166,2022,18550,1381,1515,1689,993,1649,1855,1357,685,2420,1375,1711,1920,4011,221,323,373,275,292,534,300,303,465,368,455,102
1,2001-01-01,22280,1794,1779,2057,1162,1930,2230,1654,1466,1871,2193,1904,2240,18279,1499,1486,1701,912,1613,1681,1387,1169,1428,1865,1598,1940,4001,295,293,356,250,317,549,267,297,443,328,306,300
2,2002-01-01,23198,1826,2304,1997,1355,2055,2314,1537,1268,2137,2031,1951,2423,19257,1539,2000,1608,1122,1705,1835,1319,896,1842,1694,1804,1893,3941,287,304,389,233,350,479,218,372,295,337,147,530
3,2003-01-01,21962,1690,1543,2507,1103,2135,2100,1369,1134,2489,1575,1762,2555,18091,1422,1319,2126,907,1778,1682,1127,783,2070,1272,1678,1927,3871,268,224,381,196,357,418,242,351,419,303,84,628
4,2004-01-01,22189,1604,1773,1795,1577,1872,2082,1857,1332,1846,2011,1877,2563,18091,1314,1463,1485,1271,1539,1621,1591,1009,1460,1754,1681,1903,4098,290,310,310,306,333,461,266,323,386,257,196,660
5,2005-01-01,22992,1896,1556,1909,1459,2003,2055,1660,1231,2764,1766,1958,2735,19042,1586,1317,1569,1169,1627,1645,1399,928,2332,1658,1693,2119,3950,310,239,340,290,376,410,261,303,432,108,265,616
6,2006-01-01,23706,1534,1652,2123,1497,2139,2928,1656,1093,1613,2283,2173,3015,19761,1297,1426,1813,1192,1838,2447,1347,763,1222,2210,1805,2401,3945,237,226,310,305,301,481,309,330,391,73,368,614
7,2007-01-01,23966,1803,1448,2045,1409,1757,2242,2748,1508,1988,1835,2335,2848,19853,1551,1220,1668,1141,1467,1799,2245,1126,1713,1695,1923,2305,4113,252,228,377,268,290,443,503,382,275,140,412,543
8,2008-01-01,24596,1963,1492,2041,1314,2034,2220,1814,1849,2315,2046,2641,2867,20389,1701,1236,1630,1095,1659,1819,1472,1214,2266,1802,2110,2385,4207,262,256,411,219,375,401,342,635,49,244,531,482
9,2009-01-01,26081,1844,1832,2040,1456,2253,2263,1783,1873,2431,2852,2286,3168,22060,1554,1578,1690,1213,1899,1843,1397,1497,2359,2481,1943,2606,4021,290,254,350,243,354,420,386,376,72,371,343,562
10,2010-01-01,24363,2454,1474,1727,1405,2146,2036,1915,1209,1901,3173,2225,2698,20230,2113,1227,1441,1173,1761,1601,1536,1030,1769,2630,1846,2103,4133,341,247,286,232,385,435,379,179,132,543,379,595
11,2011-01-01,27258,2179,1616,2146,1496,2330,2488,2083,1017,2358,2780,3716,3049,22840,1810,1354,1807,1189,2018,2053,1704,936,2107,2322,3154,2386,4418,369,262,339,307,312,435,379,81,251,458,562,663
12,2012-01-01,27936,1813,2036,2315,1603,2284,2564,2077,1509,2295,2282,2989,4169,23134,1515,1717,1914,1304,1930,1978,1796,1387,1880,1932,2414,3367,4802,298,319,401,299,354,586,281,122,415,350,575,802
13,2013-01-01,26254,2426,1373,2463,1428,2211,2624,1639,1255,2640,2268,2741,3186,21180,2049,1101,1928,1127,1791,1966,1496,979,2178,1859,2198,2508,5074,377,272,535,301,420,658,143,276,462,409,543,678
14,2014-01-01,28407,2011,1866,2734,1562,2622,2642,1730,1698,2886,2327,3146,3183,22863,1592,1524,2220,1180,2041,2088,1643,1253,2393,1926,2557,2446,5544,419,342,514,382,581,554,87,445,493,401,589,737
15,2015-01-01,28322,2544,1626,2456,1600,2729,2336,1781,2035,2268,2778,2939,3230,22544,2076,1278,1922,1209,2041,1999,1632,1416,1837,2247,2365,2522,5778,468,348,534,391,688,337,149,619,431,531,574,708
16,2016-01-01,27971,2458,1653,2311,1728,2608,2117,2039,1405,2843,2875,2724,3210,22017,1883,1260,1811,1213,2025,1960,1715,904,2389,2319,2142,2396,5954,575,393,500,515,583,157,324,501,454,556,582,814
17,2017-01-01,28212,2067,2065,2105,1766,2520,2103,2460,1777,2176,2620,3097,3456,22162,1549,1663,1620,1200,2084,2018,1911,1285,1652,2081,2494,2605,6050,518,402,485,566,436,85,549,492,524,539,603,851
18,2018-01-01,27007,2240,1642,2582,1712,2035,2176,2141,1847,2489,2488,2527,3128,21308,1792,1307,1996,1237,1754,1969,1608,1346,1967,2048,1938,2346,5699,448,335,586,475,281,207,533,501,522,440,589,782
19,2019-01-01,25434,2188,1581,2317,1507,1825,2297,1911,1382,2629,2346,2846,2605,19889,1717,1251,1724,1011,1703,1939,1463,953,2114,1879,2202,1933,5545,471,330,593,496,122,358,448,429,515,467,644,672
20,2020-01-01,22651,1678,2676,1934,512,199,1863,1678,1711,1605,2859,2523,3413,17124,1261,2041,1402,279,189,1423,1351,1265,1272,2230,1892,2519,5527,417,635,532,233,10,440,327,446,333,629,631,894
21,2021-01-01,28329,2285,2063,2457,1538,2183,2454,2001,1570,2500,2689,2939,3650,22101,1711,1509,1792,1223,1902,1862,1581,1088,2166,2151,2354,2762,6228,574,554,665,315,281,592,420,482,334,538,585,888
22,2022-01-01,29389,2481,2615,2436,1374,2525,2632,1981,1559,2597,2623,3026,3540,23379,1934,2067,1885,1257,2072,2114,1522,1138,2211,2024,2444,2711,6010,547,548,551,117,453,518,459,421,386,599,582,829
23,2023-01-01,28310,1891,2077,2500,1564,2368,2353,2389,1881,2329,2803,2833,3322,22914,1397,1651,2079,1416,1975,1838,1957,1506,1845,2365,2294,2591,5396,494,426,421,148,393,515,432,375,484,438,539,731
