year,gdp_usd
1960-01-01,704751700.302494
1961-01-01,764629788.123689
1962-01-01,826239211.817511
1963-01-01,917608012.491752
1964-01-01,894153311.424857
1965-01-01,974644096.144674
1966-01-01,1096425608.09089
1967-01-01,1238035815.78586
1968-01-01,1425706091.0356
1969-01-01,1659893767.84419
1970-01-01,1920574150.17542
1971-01-01,2263785443.61688
1972-01-01,2721440980.75851
1973-01-01,3696213333.33333
1974-01-01,5221534955.64418
1975-01-01,5633673929.99302
1976-01-01,6327077974.10703
1977-01-01,6618585073.66035
1978-01-01,7517176354.84135
1979-01-01,9296921723.83465
1980-01-01,11896256782.8566
1981-01-01,14175228843.6391
1982-01-01,16084252378.473
1983-01-01,17784112149.5327
1984-01-01,19749361097.965
1985-01-01,19156532745.7691
1986-01-01,18586746056.9974
1987-01-01,20919215578.212505
1988-01-01,25371462488.1292
1989-01-01,30465364738.6206
1990-01-01,36144336768.7023
1991-01-01,45466164978.29231
1992-01-01,52131320032.8797
1993-01-01,60603815716.2653
1994-01-01,73688724431.1412
1995-01-01,87812540788.42929
1996-01-01,96293086513.0872
1997-01-01,100123787215.299
1998-01-01,85728207781.7785
1999-01-01,86286849754.8905
2000-01-01,96076539925.74088
2001-01-01,89793790669.6515
2002-01-01,92538372869.69421
2003-01-01,97646401095.6369
2004-01-01,115033593101.049
2005-01-01,127807848728.398
2006-01-01,148627286361.351
2007-01-01,180941701357.97
2008-01-01,193617323539.203
2009-01-01,194150283771.566
2010-01-01,239807980591.24
2011-01-01,279356499090.458
2012-01-01,295092888076.589
2013-01-01,307576360584.992
2014-01-01,314863580758.455
2015-01-01,307998545269.398
2016-01-01,319646468521.497
2017-01-01,343673334902.33
2018-01-01,377123710560.614
2019-01-01,376161998830.048
2020-01-01,349165858544.568
2021-01-01,436591382250.464
2022-01-01,509017841146.55695
2023-01-01,505439514078.01904
2024-01-01,547386645891.84705
